,Risk communication,Only one case (base case),Absolute risk (base case),Absolute risk (new case),Absolute number (base case),Absolute number (new case),Absolute risk difference,Relative risk difference,Absolute number difference,Verbal risk descriptor (base case),Verbal risk descriptor (new situation),Verbal risk descriptor (change from base to new),Population Size,Reference class size (base case: absolute number),Reference class size (new case: absolute number),Reference class description (base case),Reference class description (new case),Source (base case),Source (new situation),Topic and unit
Some reviews found that between 30% and 65% of people infected with SARS-CoV-2 remain without symptoms.,1,1,30%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
Prior data indicate that between 35% and 66% of people infected with SARS-CoV-2 have no noticeable symptoms.,1,1,35%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
Scientific findings show that between 28% and 55% of people infected with SARS-CoV-2 do not display symptoms.,1,1,28%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
Analyses suggest that between 33% and 50% of people infected with SARS-CoV-2 exhibit no clinical manifestations.,1,1,33%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
Reports reveal that between 27% and 58% of people infected with SARS-CoV-2 remain asymptomatic.,1,1,27%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
Studies conducted over time suggest that between 26% and 62% of people infected with SARS-CoV-2 are symptom-free.,1,1,26%,,,,,,,,,,,,,people infected with SARS-CoV-2,,studies,,Proportion of infected people who not experiencing symptoms in %
Meta-analyses indicate that between 29% and 64% of people infected with SARS-CoV-2 do not develop symptoms.,1,1,29%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
Systematic reviews found that between 31% and 59% of people infected with SARS-CoV-2 lack observable symptoms.,1,1,31%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
"In a group of 90,000 patients, researchers found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 8,80% before vaccines were widely distributed, compared to 10,50% after the vaccine rollout.",1,0,"8,80%","10,50%",,,,,,,,,90000,,,people hospitalized with COVID-19 before vaccines were widely distributed,people hospitalized with COVID-19 after the vaccine rollout,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 9,10% prior to vaccine rollout, compared to 11,00% once vaccines became available.",1,0,"9,10%","11,00%",,,,,,,,,90000,,,people hospitalized with COVID-19 prior to vaccine rollout,people hospitalized with COVID-19 once vaccines became available,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, scientists found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 8,50% in the pre-vaccine phase, compared to 10,80% after widespread vaccine use.",1,0,"8,50%","10,80%",,,,,,,,,90000,,,people hospitalized with COVID-19 in the pre-vaccine phase,people hospitalized with COVID-19 after widespread vaccine use,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers also found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 9,30% before COVID-19 immunizations began, compared to 11,20% following the introduction of vaccines.",1,0,"9,30%","11,20%",,,,,,,,,90000,,,people hospitalized with COVID-19 before COVID-19 immunizations began,people hospitalized with COVID-19 following the introduction of vaccines,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, scientists also found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 8,75% before mRNA vaccines became available, compared to 10,70% after COVID-19 vaccines were distributed.",1,0,"8,75%","10,70%",,,,,,,,,90000,,,people hospitalized with COVID-19 before mRNA vaccines became available,people hospitalized with COVID-19 after COVID-19 vaccines were distributed,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers found also that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 9,00% before any public vaccination effort, compared to 11,10% during the vaccinated period.",1,0,"9,00%","11,10%",,,,,,,,,90000,,,people hospitalized with COVID-19 before any public vaccination effort,people hospitalized with COVID-19 during the vaccinated period,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 8,65% during the unvaccinated period, compared to 10,60% after vaccine availability.",1,0,"8,65%","10,60%",,,,,,,,,90000,,,people hospitalized with COVID-19 during the unvaccinated period,people hospitalized with COVID-19 after vaccine availability,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 9,40% prior to any vaccine deployment, compared to 11,30% post-vaccine rollout.",1,0,"9,40%","11,30%",,,,,,,,,90000,,,people hospitalized with COVID-19 prior to any vaccine deployment,people hospitalized with COVID-19 post-vaccine rollout,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 8,95% before a large-scale vaccination, compared to 10,90% during the immunized era.",1,0,"8,95%","10,90%",,,,,,,,,90000,,,people hospitalized with COVID-19 before large-scale vaccination,people hospitalized with COVID-19 during the immunized era,,,Risk of venous thromboembolism within 90 days post-hospital in %
"In a cohort of 90,000 patients, researchers found that the 90-day risk of venous thromboembolism for those hospitalized with COVID-19 was 9,20% at the start of the pandemic, compared to 11,15% after vaccination campaigns began.",1,0,"9,20%","11,15%",,,,,,,,,90000,,,people hospitalized with COVID-19 at the start of the pandemic,people hospitalized with COVID-19 after vaccination campaigns began,,,Risk of venous thromboembolism within 90 days post-hospital in %
"A group of children ages 6–14 was tested regularly during the winter 2021–2022 season. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (45%) than those infected with delta (65%).",1,0,65%,45%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 5–13 was monitored from October 2021 to February 2022. Among the unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (47%) than those infected with delta (63%).",1,0,63%,47%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 7–15 was screened weekly over a 6-month period. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (44%) than those infected with delta (67%).",1,0,67%,44%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 6–12 was participated in a viral surveillance program. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (42%) than those infected with delta (68%).",1,0,68%,42%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 5–14 was tested weekly for COVID-19 between fall 2021 and early 2022. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (46%) than those infected with delta (64%).",1,0,64%,46%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 8–15 was included in a school-based testing initiative. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (43%) than those infected with delta (66%).",1,0,66%,43%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 6–13 was screened in a pediatric COVID-19 observation program. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (41%) than those infected with delta (62%).",1,0,62%,41%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 7–14 was part of a longitudinal pediatric cohort. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (40%) than those infected with delta (69%).",1,0,69%,40%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 5–12 was tested from November 2021 through March 2022. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (48%) than those infected with delta (61%).",1,0,61%,48%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A group of children ages 6–15 was tracked in a community transmission study. Among unvaccinated children who were infected, those with omicron infections were less likely to report COVID-19 symptoms (49%) than those infected with delta (65%).",1,0,65%,49%,,,,,,,,less likely to,,,,unvaccinated children infected with delta,unvaccinated children infected with omicron,,,Proportion of infected children reporting symptoms by COVID variant
"A study published in Critical Care found that six months after hospital discharge, 1/6 of patients who recovered from severe COVID-19 had died.",1,1,1/6,,,,,,,,,,,,,patients who recovered from severe COVID-19,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"the study published in Critical Care found that within half a year of recovery, 1/4 of people discharged from ICU after COVID-19 had died.",1,1,1/4,,,,,,,,,,,,,people discharged from ICU after COVID-19,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that after six months of follow-up, 1/7 of COVID-19 survivors of critical illness had died.",1,1,1/7,,,,,,,,,,,,,COVID-19 survivors of critical illness,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that six months post-discharge, 1/3 of patients who were in intensive care due to COVID-19 had died.",1,1,1/3,,,,,,,,,,,,,patients who were in intensive care due to COVID-19,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that after half a year of observation, 1/8 of people with a history of critical COVID-19 treatment had died.",1,1,1/8,,,,,,,,,,,,,people with a history of critical COVID-19 treatment,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that over a six-month recovery window, 1/5 of survivors of COVID-19 hospitalization in ICU had died.",1,1,1/5,,,,,,,,,,,,,survivors of COVID-19 hospitalization in ICU,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that in the half-year following discharge, 1/6 of individuals who recovered from critical COVID had died.",1,1,1/6,,,,,,,,,,,,,individuals who recovered from critical COVID,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that six months after ICU release, 1/4 of patients who experienced severe COVID-19 symptoms had died.",1,1,1/4,,,,,,,,,,,,,patients who experienced severe COVID-19 symptoms,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that in the months following critical illness, 1/7 of former ICU COVID-19 patients had died.",1,1,1/7,,,,,,,,,,,,,former ICU COVID-19 patients,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"A study published in Critical Care found that by the end of a six-month period, 1/3 of critically ill COVID-19 patients post-recovery had died.",1,1,1/3,,,,,,,,,,,,,critically ill COVID-19 patients post-recovery,,Critical Care,,Mortality risk 6 months post-critical COVID-19
"Also according to the World Health Organization, the household transmission rate was 38% for Omicron BA.2 compared to 28% for Omicron BA.1.",1,0,28%,38%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was 40% for Omicron BA.2.12.1 compared to 27% for Omicron BA.1.1 variant.",1,0,27%,40%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1.1,household contacts of people infected with Omicron BA.2.12.1,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was  about 41% for Omicron BA.2 compared to 26% for Omicron BA.1.",1,0,26%,41%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was roughly 42% for Omicron BA.2 compared to 25% for Omicron BA.1.",1,0,25%,42%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was approximately 37% for Omicron BA.2.12.1 compared to 30% for Omicron BA.1.1.",1,0,30%,37%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1.1,household contacts of people infected with Omicron BA.2.12.1,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was around 39% for Omicron BA.2 compared to 31% for Omicron BA.1.",1,0,31%,39%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"Also according to the World Health Organization, the household transmission rate was 36% for Omicron BA.2 compared to 29% for Omicron BA.1.",1,0,29%,36%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
World Health Organization found that the household transmission rate was 35% for Omicron BA.2.12.1 compared to 28% for Omicron BA.1.1.,1,0,28%,35%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1.1,household contacts of people infected with Omicron BA.2.12.1,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was 43% for Omicron BA.2 compared to 26% for Omicron BA.1.",1,0,26%,43%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"According to the World Health Organization, the household transmission rate was roughly 44% for Omicron BA.2.12.1 compared to 27% for Omicron BA.1.",1,0,27%,44%,,,,,,,,,,,,household contacts of people infected with Omicron BA.1,household contacts of people infected with Omicron BA.2.12.1,World Health Organization,World Health Organization,Probability of household transmission for Omicron BA.1 vs. BA.2 in %
"These birth defects are uncommon in the U.S., with around 5/10000 live births affected prior to the pandemic. That number increased by less than 1/10000 one year into the pandemic.",1,0,5/10000,6/10000,,,1/10000,,,,,,,,,number of birth defects prior to the pandemic,number of birth defects one year into the pandemic,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 6/10000 live births affected before COVID-19 began. That number increased by less than 2/10000 after the first pandemic year.",1,0,6/10000,8/10000,,,2/10000,,,,,,,,,number of birth defects before COVID-19 began,number of birth defects after the first pandemic year,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 7/10000 live births affected in the pre-pandemic era. That number increased by less than 1/10000 twelve months later.",1,0,7/10000,8/10000,,,1/10000,,,,,,,,,number of birth defects in the pre-pandemic era,number of birth defects twelve months later,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 4/10000 live births affected before the global outbreak. That number increased by less than 1/10000 following the pandemic's onset.",1,0,4/10000,5/10000,,,1/10000,,,,,,,,,number of birth defects before the global outbreak,number of birth defects following the pandemic's onset,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 8/10000 live births affected in the years preceding the pandemic. That number increased by less than 2/10000 after a full year of COVID-19.",1,0,8/10000,10/10000,,,2/10000,,,,,,,,,number of birth defects in the years preceding the pandemic,number of birth defects after a full year of COVID-19,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 5/10000 live births affected before early 2020. That number increased by less than 1/10000 by the end of year one of the pandemic.",1,0,5/10000,6/10000,,,1/10000,,,,,,,,,number of birth defects before early 2020,number of birth defects by the end of year one of the pandemic,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 6/10000 live births affected in the time before COVID. That number increased by less than 1/10000 after the first COVID wave.",1,0,6/10000,7/10000,,,1/10000,,,,,,,,,number of birth defects in the time before COVID,number of birth defects after the first COVID wave,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 5/10000 live births affected in the pre-COVID period. That number increased by less than 2/10000 post-pandemic year one.",1,0,5/10000,7/10000,,,2/10000,,,,,,,,,number of birth defects in the pre-COVID period,number of birth defects post-pandemic year one,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 7/10000 live births affected before the coronavirus crisis. That number increased by less than 1/10000 in the first post-pandemic year.",1,0,7/10000,8/10000,,,1/10000,,,,,,,,,number of birth defects before the coronavirus crisis,number of birth defects in the first post-pandemic year,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"These birth defects are uncommon in the U.S., with around 6/10000 live births affected before widespread infections. That number increased by less than 2/10000 one year after the outbreak.",1,0,6/10000,8/10000,,,2/10000,,,,,,,,,number of birth defects before widespread infections,number of birth defects one year after the outbreak,,,"Rate of birth defects per 10,000 live births before vs. after pandemic"
"Based on national health surveys, the prevalence of people with both diabetes and hypertension more than doubled from 5% in 1999 to 10% in 2018.",1,0,5%,10%,,,,,,,,more than doubled,200000000,,,U.S. adults with both diabetes and hypertension (1999),U.S. adults with both diabetes and hypertension (2018),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension almost doubled from 6% in 2000 to 11% in 2019.",1,0,6%,11%,,,,,,,,almost doubled,200000000,,,U.S. adults with both diabetes and hypertension (2000),U.S. adults with both diabetes and hypertension (2019),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension nearly tripled from 7% in 2002 to 13% in 2020.",1,0,7%,13%,,,,,,,,nearly tripled,200000000,,,U.S. adults with both diabetes and hypertension (2002),U.S. adults with both diabetes and hypertension (2020),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension more than doubled from 8% in 2001 to 14% in 2021.",1,0,8%,14%,,,,,,,,more than doubled,200000000,,,U.S. adults with both diabetes and hypertension (2001),U.S. adults with both diabetes and hypertension (2021),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension doubled from 5.5% in 2003 to 11% in 2022.",1,0,"5,50%",11%,,,,,,,,doubled,200000000,,,U.S. adults with both diabetes and hypertension (2003),U.S. adults with both diabetes and hypertension (2022),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension increased significantly from 6.5% in 2000 to 12% in 2019.",1,0,"6,50%",12%,,,,,,,,increased significantly,200000000,,,U.S. adults with both diabetes and hypertension (2000),U.S. adults with both diabetes and hypertension (2019),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension doubled from 7.5% in 1999 to 15% in 2021.",1,0,"7,50%",15%,,,,,,,,doubled,200000000,,,U.S. adults with both diabetes and hypertension (1999),U.S. adults with both diabetes and hypertension (2021),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension increased steadily from 6% in 2002 to 13% in 2020.",1,0,6%,13%,,,,,,,,increased steadily,200000000,,,U.S. adults with both diabetes and hypertension (2002),U.S. adults with both diabetes and hypertension (2020),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension more than doubled from 7% in 2004 to 12% in 2022.",1,0,7%,12%,,,,,,,,more than doubled,200000000,,,U.S. adults with both diabetes and hypertension (2004),U.S. adults with both diabetes and hypertension (2022),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Based on national health surveys, the prevalence of people with both diabetes and hypertension rose sharply from 5% in 2001 to 10% in 2023.",1,0,5%,10%,,,,,,,,rose sharply,200000000,,,U.S. adults with both diabetes and hypertension (2001),U.S. adults with both diabetes and hypertension (2023),,,Prevalence of both diabetes and hypertension in U.S. adults (%)
"Although pulmonary embolism in children is fairly rare, recent studies suggest it may be more common than previously thought. Estimates vary, ranging from about 6,2/100000 to 42/100000 among hospitalized children.",1,1,"6,2/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is rare, recent studies suggest it may be more common than previously thought. Reported rates fall between 7,5/100000 and 51/100000 among hospitalized children.",1,1,"7,5/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is rare, recent studies suggest that it may be more common than previously thought. Studies found a range from 5,8/100000 to 48/100000 cases per 100,000 among hospitalized children.",1,1,"5,8/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is fairly rare, recent studies suggest it may be more common than previously thought. Previous research showed between 8,1/100000 and 45/100000 among hospitalized children.",1,1,"8,1/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is rare, recent studies suggest it may be more common than previously thought. The estimated rate lies somewhere between 6,9/100000 and 54/100000 among hospitalized children.",1,1,"6,9/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is rare, recent studies suggest it that may be more common than previously thought. Findings suggest between 7,3/100000 and 47/100000 children per 100,000 among hospitalized children.",1,1,"7,3/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is rare, recent studies suggest it may be more common than previously thought. Published data identified a rate between 6,5/100000 and 49/100000 among hospitalized children.",1,1,"6,5/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is fairly rare, recent studies suggest it may be more common than previously thought. Clinical records reported values from 7,9/100000 to 50/100000 among hospitalized children.",1,1,"7,9/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Although pulmonary embolism in children is very rare, recent studies suggest it may be more common than previously thought. Incidence rates have been reported in the range of 5,6/100000 to 46/100000 among hospitalized children.",1,1,"5,6/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"pulmonary embolism in children is rare, recent studies suggest it may be more common than previously thought. The frequency was found to be between 8,0/100000 and 52/100000 among hospitalized children.",1,1,"8,0/100000",,,,,,,,,,,,,hospitalized children,,,,"Pulmonary embolism rate in hospitalized children per 100,000"
"Fresno County, CA experienced a notable rise in Valley Fever cases. In Q1 2021, there were only 34 cases, but by Q1 2023, the number had jumped to 145.",1,0,,,34,145,,,,,,,,,,"Valley Fever cases in Fresno County, CA Q1 2021","Valley Fever cases in Fresno County, CA Q1 2023",,,Reported Valley Fever cases in Q1
"Maricopa County, AZ experienced a notable rise in Valley Fever cases. In Q1 2020, there were only 18 cases, but by Q1 2022, the number had jumped to 128.",1,0,,,18,128,,,,,,,,,,"Valley Fever cases in Maricopa County, AZ Q1 2020","Valley Fever cases in Maricopa County, AZ Q1 2022",,,Reported Valley Fever cases in Q1
"Kern County, CA experienced a notable rise in Valley Fever cases. In Q1 2022, there were only 29 cases, but by Q1 2024, the number had jumped to 160.",1,0,,,29,160,,,,,,,,,,"Valley Fever cases in Kern County, CA Q1 2022","Valley Fever cases in Kern County, CA Q1 2024",,,Reported Valley Fever cases in Q1
"Pima County, AZ experienced a notable rise in Valley Fever cases. In Q1 2021, there were only 21 cases, but by Q1 2023, the number had jumped to 122.",1,0,,,21,122,,,,,,,,,,"Valley Fever cases in Pima County, AZ Q1 2021","Valley Fever cases in Pima County, AZ Q1 2023",,,Reported Valley Fever cases in Q1
"Kings County, CA experienced a notable rise in Valley Fever cases. In Q1 2023, there were only 26 cases, but by Q1 2025, the number had jumped to 214.",1,0,,,26,214,,,,,,,,,,"Valley Fever cases in Kings County, CA Q1 2023","Valley Fever cases in Kings County, CA Q1 2025",,,Reported Valley Fever cases in Q1
"Tulare County, CA experienced a notable rise in Valley Fever cases. In Q1 2022, there were only 30 cases, but by Q1 2024, the number had jumped to 176.",1,0,,,30,176,,,,,,,,,,"Valley Fever cases in Tulare County, CA Q1 2022","Valley Fever cases in Tulare County, CA Q1 2024",,,Reported Valley Fever cases in Q1
"Riverside County, CA experienced a notable rise in Valley Fever cases. In Q1 2020, there were only 19 cases, but by Q1 2022, the number had jumped to 138.",1,0,,,19,138,,,,,,,,,,"Valley Fever cases in Riverside County, CA Q1 2020","Valley Fever cases in Riverside County, CA Q1 2022",,,Reported Valley Fever cases in Q1
"Yuma County, AZ experienced a notable rise in Valley Fever cases. In Q1 2021, there were only 23 cases, but by Q1 2023, the number had jumped to 119.",1,0,,,23,119,,,,,,,,,,"Valley Fever cases in Yuma County, AZ Q1 2021","Valley Fever cases in Yuma County, AZ Q1 2023",,,Reported Valley Fever cases in Q1
"Imperial County, CA experienced a notable rise in Valley Fever cases. In Q1 2022, there were only 31 cases, but by Q1 2024, the number had jumped to 199.",1,0,,,31,199,,,,,,,,,,"Valley Fever cases in Imperial County, CA Q1 2022","Valley Fever cases in Imperial County, CA Q1 2024",,,Reported Valley Fever cases in Q1
"San Joaquin County, CA experienced a notable rise in Valley Fever cases. In Q1 2023, there were only 20 cases, but by Q1 2025, the number had jumped to 187.",1,0,,,20,187,,,,,,,,,,"Valley Fever cases in San Joaquin County, CA Q1 2023","Valley Fever cases in San Joaquin County, CA Q1 2025",,,Reported Valley Fever cases in Q1
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 61 in 2010 to 328 in 2020, representing a quadrupled.",1,0,,,61,328,,4x,,,,,,,,US counties with seropositive dogs in 2010,US counties with seropositive dogs in 2020,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 84 in 2011 to 405 in 2021, representing a close to a fivefold increase.",1,0,,,84,405,,5x,,,,,,,,US counties with seropositive dogs in 2011,US counties with seropositive dogs in 2021,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 72 in 2013 to 377 in 2023, representing a more than five-fold rise.",1,0,,,72,377,,5x,,,,,,,,US counties with seropositive dogs in 2013,US counties with seropositive dogs in 2023,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 69 in 2014 to 342 in 2022, representing a expanded dramatically.",1,0,,,69,342,,,,,,,,,,US counties with seropositive dogs in 2014,US counties with seropositive dogs in 2022,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 79 in 2015 to 419 in 2024, representing a surged more than five times.",1,0,,,79,419,,5x,,,,,,,,US counties with seropositive dogs in 2015,US counties with seropositive dogs in 2024,,,Number of US counties with canine serologic evidence of Coccidioides
"Recent studies using nationwide canine serologic testing found a substantial rise in environmental exposure. The number of U.S. counties with seropositive dogs increased from 76 in 2012 to 390 in 2023, representing a 5x.",1,0,,,76,390,,5x,,,,,,,,US counties with seropositive dogs in 2012,US counties with seropositive dogs in 2023,,,Number of US counties with canine serologic evidence of Coccidioides
